F98F F930
F8E9 0
F8EB 0
F8F1 8
F8DD 10
F8B6 0
F889 0
F853 0
F823 0
F817 1
F82A 20
F832 0
F814 0
F7EA 1
F7E1 10
F80E 12
F851 2
F874 1
F860 10
F848 10
F863 0
F88B 0
F880 10
F85D 0
F860 0
F880 6
F872 0
F830 0
F803 0
F814 0
F83F 10
F851 2
F833 0
F804 0
F805 0
F849 0
F88E 20
F884 0
F83B 0
F80F 0
F83D 9
F899 20
F8B8 0
F875 0
F834 0
F855 2
F8A7 8
F8C2 0
F8A1 0
F880 0
F872 0
F869 0
F865 0
F85F 0
F842 0
F828 5
F835 0
F84D 0
F837 11
F80F C
F81A 2
F851 10
F867 14
F84E 2
F830 0
F822 0
F827 0
F846 0
F86D 1
F869 0
F83E 0
F83C 0
F87B 0
F8A4 0
F883 0
F84A 0
F840 0
F865 0
F889 0
F88C 0
F867 0
F833 0
F828 1
F855 0
F880 2
F871 2
F84E 0
F859 10
F88C 0
F8A0 2
F881 0
F85F 0
F86A 0
F899 0
F8A4 0
F864 0
F80D 0
F7FC 0
F844 0
F888 9
F871 0
F81F 0
F7F4 1
F81D 0
F86A 20
F88C 2
F86C 0
F842 0
F84C 1
F87C C
F89A 0
F8A2 0
F8B4 4
F8B8 0
F886 0
F852 0
F867 0
F8A5 8
F8A7 0
F855 0
F808 0
F814 2
F85E 2
F888 1
F867 10
F82F 0
F820 0
F844 20
F87E 0
F8A6 0
F89F 0
F881 0
F87A 0
F88E 0
F8A3 0
F8A9 0
F897 0
F868 0
F839 0
F831 0
F84C 0
F855 0
F82B 0
F7EF 0
F7E5 0
F828 0
F874 11
F866 8
F80B 0
F7E9 0
F840 0
F8A7 0
F8A5 0
F853 0
F822 0
F83C 0
F86B 0
F86E 0
F83C 0
F80A 0
F814 0
F852 21
F863 0
F819 0
F7DC 0
F80F 0
F86E 4
F86E 0
F813 0
F7E6 0
F821 4
F870 20
F884 4
F85D 0
F81B 0
F7EB 0
F7FD 0
F840 0
F85B 0
F823 0
F7DF 0
F7E5 0
F81E 0
F830 0
F801 0
F7D1 0
F7DB 0
F80C 20
F82D 28
F82B 0
F81F 0
F821 0
F83C 0
F862 0
F873 0
F85F 0
F83E 0
F83A 0
F85F 0
F884 0
F87A 0
F843 5
F820 1
F83C 0
F86C 0
F86C 0
F846 4
F82E 4
F830 8
F82F 10
F831 0
F850 0
F875 4
F874 1
F85A 0
F853 0
F86C 0
F891 2
F8AB 0
F8AE 0
F893 0
F86D 0
F86B 0
F894 0
F8AE 1
F891 0
F864 0
F85B 1
F874 0
F887 4
F87F 0
F85F 8
F83C 0
F841 0
F86E 0
F886 0
F868 0
F849 0
F85F 0
F89C 0
F8CE 10
F8D0 0
F89F 0
F872 0
F885 0
F8C5 4
F8DB 11
F8A1 5
F847 0
F81A 0
F838 40
F881 0
F8A0 1
F865 2
F80A 0
F7EE 0
F824 0
F86B 0
F870 0
F823 0
F7D7 0
F7E3 0
F842 0
F88B 0
F871 0
F828 0
F80F 0
F834 0
F865 0
F876 0
F851 0
F806 0
F7D9 0
F7F7 0
F843 8
F86C 0
F84D 0
F812 0
F7FA 0
F816 0
F843 0
F853 0
F83F 0
F815 0
F7E8 0
F7DC 0
F80D 0
F84C 0
F841 0
F7ED 4
F7BC 0
F7E9 0
F821 0
F812 0
F7D9 0
F7C3 0
F7D8 0
F7EA 0
F7E8 0
F7E4 0
F7E6 0
F7ED 0
F7F7 0
F7F4 0
F7E3 0
F7EB 0
F817 0
F82E 0
F803 0
F7C7 0
F7C2 0
F7E9 0
F7EF 0
F7BC 0
F792 0
F79B 0
F7B6 0
F7B8 0
F7AA 0
F7AE 0
F7D5 0
F808 0
F819 0
F7F5 0
F7CF 0
F7E4 0
F825 0
F843 0
F810 0
F7CC 0
F7CC 0
F818 0
F85D 0
F84A 0
F7EC 0
F7A6 0
F7D1 0
F842 5
F861 28
F7E7 0
F763 0
F781 0
F81B 0
F877 0
F843 0
F7DB 0
F7BE 0
F80F 0
F885 0
F8B2 0
F868 0
F7FE 0
F7EF 0
F845 0
F896 0
F88C 0
F840 0
F806 0
F810 0
F840 0
F865 0
