F98F F930
F863 4
F857 0
F84B 0
F838 0
F828 0
F828 0
F838 0
F844 0
F840 2
F839 0
F841 0
F859 0
F86E 0
F874 0
F86D 0
F85C 0
F84B 0
F83F 0
F835 0
F824 0
F80C 0
F800 0
F806 0
F80B 0
F804 0
F7F4 0
F7E6 0
F7E7 0
F7EF 0
F7F0 0
F7E4 0
F7DB 0
F7E1 0
F7FA 0
F811 0
F818 0
F80B 0
F7F6 0
F7F3 0
F805 0
F81D 0
F821 0
F80C 0
F7F7 0
F7F0 0
F7F2 0
F7F5 0
F7F7 0
F7F7 0
F802 0
F819 0
F82F 0
F836 0
F830 0
F82E 0
F82E 0
F82B 0
F823 0
F815 0
F80A 0
F814 0
F833 0
F84A 0
F83C 0
F818 0
F80C 0
F82A 0
F84B 1
F848 1
F82F 8
F82A 0
F845 10
F864 12
F861 0
F833 0
F7FC 0
F7F1 0
F813 0
F83C 0
F842 0
F827 0
F816 0
F829 A
F84F 1
F85E 0
F84A 0
F82C 0
F827 0
F843 0
F863 0
F869 0
F849 0
F81E 0
F80C 0
F818 0
F821 0
F80B 0
F7EB 0
F7F0 0
F822 0
F84C 0
F844 0
F822 0
F813 0
F827 0
F84A 0
F85A 0
F84C 0
F83D 0
F848 0
F864 0
F869 0
F844 0
F811 0
F7F6 0
F7FD 0
F811 0
F819 0
F807 0
F7ED 0
F7F4 0
F81F 0
F844 0
F840 0
F827 0
F82B 0
F857 0
F888 0
F899 0
F881 0
F85C 0
F84E 0
F85C 0
F86A 0
F85E 0
F842 0
F835 0
F845 0
F860 0
F86B 0
F85D 0
F844 0
F841 0
F858 0
F86D 0
F86C 0
F85D 0
F85C 0
F875 8
F891 0
F891 0
F86C 0
F847 0
F849 0
F869 0
F876 0
F85F 0
F844 0
F840 0
F847 0
F83E 0
F826 0
F80D 0
F7F9 0
F7ED 8
F7F1 4
F807 C
F81A 2
F815 0
F802 0
F7F3 0
F7F9 0
F80C 0
F81B 0
F81E 0
F81A 0
F818 0
F819 0
F819 0
F811 0
F808 0
F7FF 0
F7EA 10
F7CE 2
F7BF 11
F7D1 C
F7F6 0
F803 0
F7E3 0
F7B1 0
F7AB 0
F7DE 0
F81C 0
F839 0
F82F 0
F81C 0
F82B 0
F861 0
F88D 0
F881 0
F84B 0
F820 0
F825 0
F849 0
F861 0
F852 21
F832 0
F821 0
F82A 2
F83C 0
F849 0
F855 0
F865 E
F881 0
F8A0 2
F8B3 2
F8B8 0
F8BC 0
F8C2 0
F8C6 0
F8C1 0
F8B6 20
F8B2 20
F8BF 30
F8D4 0
F8D5 0
F8B0 6
F87E 10
F86C 0
F886 8
F8A6 1
F8A5 8
F88D 20
F885 0
F8A6 20
F8D8 0
F8EC 4
F8D6 0
F8BA 0
F8C4 12
F8F6 14
F91C 4
F90D 10
F8DD 0
F8C1 4
F8CA 1
F8D7 0
F8C4 0
F89C 0
F886 0
F88F 0
F89E 0
F898 44
F888 4
F889 0
F8A3 21
F8BF 28
F8C6 20
F8AE 20
F88D 0
F887 20
F8A1 40
F8B6 0
F8A8 40
F884 0
F875 10
F890 0
F8B9 0
F8BF 8
F899 40
F870 10
F871 20
F89D 0
F8C3 40
F8BC 8
F88C 0
F85D 0
F858 12
F86F C
F870 0
F84B 20
F831 0
F849 8
F870 0
F877 0
F85B 0
F841 2
F842 0
F864 0
F886 8
F885 0
F867 9
F85C 0
F871 1
F883 0
F86B 2
F835 2
F810 0
F818 0
F83C 4
F849 0
F829 2
F804 0
F805 0
F82A 6
F851 0
F85A 0
F841 0
F831 0
F84D 8
F883 0
F8A0 21
F88F 9
F86C 0
F862 4
F875 0
F884 2
F87A 0
F85A 0
F838 0
F82D 0
F83C 0
F853 0
F859 0
F84D 0
F849 0
F858 20
F86E 8
F87F 40
F887 4
F894 0
F8AE 0
F8CF 0
F8DE 0
F8D2 2
F8C0 0
F8C0 0
F8CF 0
F8D6 4
F8C2 0
F8A2 8
F890 0
F893 2
F89A 0
F89F 0
F8A5 0
F8AE 2
F8BD 0
F8D7 0
F8F5 0
F90E 8
F919 0
F91A 0
F91A 0
F91E 0
F923 10
F91B 0
F905 0
F8E8 14
F8CF 1
F8BD 0
F8B2 4
F8AA 2
F8A6 8
F8AD 2
F8BA 0
F8C5 0
F8CD 0
F8D5 2
F8E0 0
F8EB 0
F8EE 0
F8E1 0
F8D4 0
F8D2 0
F8D1 0
F8C4 0
F8A9 1
F893 0
F890 0
F894 0
F88B 2
F871 0
F855 0
F84B 4
F859 0
F868 3
F86C 0
F86C 0
F871 0
F879 0
F87C 0
F882 0
F893 0
F8A5 0
F8A3 4
F88E 1
F87D 0
F882 0
F88C 0
F87C 0
F84F 0
F824 0
F81B 0
F82F 0
F847 2
F84F 0
F849 0
F848 0
F859 0
F874 0
F886 1
F88C 0
F890 0
F897 2
F89D 1
F89E 0
F89A 0
F88F 0
F882 0
F875 8
F86D 0
F86C 6
F870 0
F878 0
F886 0
F891 80
F890 84
F885 0
F882 0
F894 0
F8AC 80
F8BB C
F8B6 80
F8A4 80
F89F 80
F8AB 80
F8B9 A0
F8B6 A0
F8A8 0
F89F 21
F8A0 0
F8AC 0
F8B5 0
F8A8 0
F88A 8
F875 0
F87B 0
F891 0
F89C 0
F891 0
F883 0
F888 2
F89B 0
F8A2 8
F891 0
F878 0
F872 21
F886 24
F8A1 40
F8A4 0
F88D 8
F883 28
F8A1 0
F8CD 0
F8D9 0
F8B8 0
F89A 0
F8B8 0
F8FC 4
F912 40
F8D5 40
F883 0
F870 2
F8AB 2
F8F5 2
F900 0
F8C9 A
F894 20
F8A3 22
F8E7 40
F918 40
F90D 40
F8E3 50
F8D6 6
F8F7 0
F925 0
F932 0
F915 0
F8EC 20
F8DE 8
F8F3 0
F90B 0
F90F 40
F903 10
F8F9 0
F8FD 2
F8FE 0
F8E7 0
F8BF 25
F8A9 1
F8BD 0
F8E6 0
F8F7 0
F8E5 0
F8CC 0
F8D5 0
F902 0
F928 0
F91B 0
F8E9 0
F8C7 0
F8DA 0
F904 0
F90C 0
F8D7 0
F88C 8
F868 0
F875 0
F889 8
F87E 10
F85A 0
F847 0
F85E 0
F887 0
F89C 0
F88C 21
F870 0
F866 4
F86F 4
F875 41
F86A 0
F84E 1
F834 0
F82A 20
F82E 14
F82A 7
F813 0
F7F6 0
F7E3 0
F7E1 0
F7F4 0
F80F 0
F810 0
F7F0 10
F7D0 10
F7CF 0
F7E6 24
F7FB 0
F7FF 0
F7F8 4
F7F8 0
F807 4
F817 0
F815 0
F7FD 0
F7E2 0
F7DE 0
F7F8 0
F80F 0
F7FB 0
F7C8 0
F7AD 0
F7C7 0
F7F2 20
F801 8
F7F0 0
F7E0 0
F7EA 0
F80D 0
F82C 0
F82C 0
F80D 0
F7F5 0
F803 0
F829 0
F843 0
F83A 0
F822 0
F81A 0
F827 0
F832 10
F837 0
F842 0
F853 0
F860 28
F864 24
F861 0
F85F 3
F865 0
F878 0
F890 3
F899 10
F892 8
F893 0
F8B1 11
F8D3 10
F8CD 0
F8A2 12
F884 0
F893 8
F8BA 0
F8D4 0
F8C9 20
F8A9 28
F894 4
F8A9 6
F8E0 0
F90E 48
F90C 40
F8E6 2
F8D1 0
F8E9 0
F914 0
F924 0
F90A 1
F8E4 0
F8CE 0
F8D1 0
F8E3 21
F8EC 0
F8DD 22
F8C8 3
F8CA 30
F8DF 0
F8E9 0
F8E5 5
F8E5 2
F8F0 0
F8EA 4
F8CA 0
F8B6 20
F8C2 31
F8DC 2
F8E8 0
F8DA 0
F8BF 0
F8B1 20
F8B7 0
F8C7 1
F8C1 C
F899 18
F86D 0
F860 1
F86F 0
F879 0
F868 12
F849 0
F833 0
F831 0
F83D 0
F84B 0
F84F 0
F84D 0
F84F 4
F85A 0
F864 0
F855 0
F82D 0
F805 0
F7F2 0
F7F3 0
F7F1 0
F7DA 0
F7B5 0
F7A1 0
F7AD 0
F7C1 0
F7C3 0
F7AF 0
F79F 0
F7AC 0
F7D6 0
F7FE 0
F800 0
F7DF 0
F7C5 0
F7C9 0
F7D9 0
F7DA 0
F7CD 0
F7C6 0
F7CC 0
F7D2 0
F7C9 0
F7B4 0
F799 0
F788 0
F791 0
F7AC 0
F7BC 0
F7BB 0
F7BA 0
F7CB 0
F7E8 0
F7FA 0
F7FA 0
F7F4 0
F7FA 0
F818 0
F83E 0
F84F 0
F83D 0
F814 0
F7F4 0
F7F6 0
F80E 8
F81A 1
F80F 0
F801 10
F804 12
F81A 1
F835 0
F84D 2
F85E 10
F86E 0
F880 1
F88E 0
F89A 0
F8A9 2
F8BD 28
F8D1 30
F8D3 0
F8B8 0
F88D 18
F873 0
F878 3
F88A 41
F88D 54
F87B 44
F86A 0
F875 0
F8A3 0
F8D2 0
F8E1 20
F8CE 0
F8B7 2
F8BE 24
F8E0 20
F8FC 20
F8F5 0
F8CE 8
F8AA 0
F8A6 0
F8B3 0
F8AD 0
F891 0
F874 0
F86E 0
F885 0
F8A1 0
F8AC 0
F8A4 0
F89C 4
F8A1 4
F8AE 1
F8B5 1
F8AF 0
F8A4 0
F895 1
F885 4
F87B 0
F875 0
F86F 0
F859 0
F834 0
F819 0
F81B 0
F83A 0
F856 0
F857 0
F842 0
F82E 0
F832 0
F84B 0
F860 0
F856 0
F835 0
F81D 0
F827 0
F83F 0
F841 0
F822 0
F7F6 0
F7DA 0
F7D5 0
F7DC 0
F7E5 0
F7E8 0
F7EB 0
F7F1 0
F7F4 0
F7F1 0
F7EF 0
F7FE 0
F821 0
F842 0
F83F 0
F817 0
F7F6 0
F7F7 0
F808 0
F803 0
F7D5 0
F79D 0
F793 0
F7C7 0
F802 0
F803 0
F7D2 0
F7AD 0
F7C3 0
F801 0
F828 0
F817 0
F7EB 0
F7D5 0
F7E9 3
F802 5
F7F9 0
F7CE 0
F7A7 0
F7A5 0
F7C1 0
F7D5 0
F7C9 0
F7B3 0
F7B7 0
F7D3 0
F7E7 0
F7DA 0
F7C2 0
F7C9 0
F7F9 0
F825 0
F819 0
F7DD 0
F7AF 0
F7BD 0
F7F6 0
F81D 0
F814 0
F7F0 0
F7DF 0
F7FD 0
F836 0
F853 0
F834 0
F7F7 0
F7E2 0
F80C 0
F855 0
F882 0
F885 0
F878 0
F87B 0
F88E 0
F89A 0
F897 0
F893 4
F89D 20
F8AA 31
F8AB 0
F897 0
F87E 0
F87A 10
F890 0
F8A7 4
F8A4 0
F895 4
F8A6 0
F8E3 10
F925 10
F937 2
F910 0
F8DB 0
F8D1 0
F8F3 10
F90F 20
F8F7 0
F8BB 0
F890 1
F898 0
F8C3 0
F8DC 1
F8BF 0
F889 0
F870 1
F88E 0
F8BD 4
F8C9 0
F8AC 0
F88F 0
F895 0
F8B0 0
F8BD 0
F8A8 0
F884 0
F86F 0
F874 0
F87C 0
F86E 0
F854 0
F843 0
F843 0
F83B 1
F81A 0
F7F7 0
F7F2 0
F810 8
F82D 0
F828 2
F809 0
F7F9 0
F80C 0
F828 0
F829 0
F808 0
F7E5 0
F7E3 0
F7FD 0
F812 0
F802 0
F7CE 0
F7A2 0
F7A2 0
F7BB 0
F7C5 0
F7B9 0
F7AB 0
F7AF 0
F7BF 0
F7C8 0
F7C1 0
F7B2 0
F7AA 0
F7B2 0
F7C2 0
F7C8 0
F7BE 0
F7AE 0
F7A8 0
F7AC 0
F7B3 0
F7B4 0
F7B5 0
F7BA 0
F7C6 0
F7CF 0
F7D0 0
F7D0 0
F7D4 0
F7D9 0
F7DA 0
F7D0 0
F7C5 0
F7C9 0
F7DD 0
F7F0 0
F7F4 0
F7EB 0
F7ED 0
F803 0
F821 0
F832 0
F82A 0
F818 0
F819 0
F830 0
F845 0
F842 0
F82A 0
F81A 0
F829 0
F848 0
F85A 0
F853 0
F845 0
F84A 0
F864 0
F87B 0
F883 0
F87C 0
F872 0
F877 1
F881 8
F888 0
F892 0
F8A9 0
F8C0 2
F8C8 0
F8C2 4
F8C0 0
F8D1 0
F8ED 0
F8F8 0
F8E3 20
F8C7 2
F8C3 10
F8DF 24
F900 20
F900 24
F8E1 28
F8C1 24
F8C2 20
F8E5 11
F909 0
F913 0
F901 8
F8EB 0
F8E3 1
F8E6 10
F8E9 0
F8E5 0
F8DB 0
F8CE 21
F8C2 0
F8BA 2
F8B9 2
F8B9 0
F8BA 0
F8B8 0
F8AB 0
F89C 4
F892 4
F895 1
F89E 0
F895 0
F872 0
F845 0
F829 0
F828 0
F834 0
F837 0
F829 0
F819 0
F81D 0
F831 0
F839 0
F82A 0
F813 0
F809 0
F80E 0
F813 0
F804 0
F7E0 0
F7BF 0
F7B4 0
F7BB 0
F7BB 0
F7A7 0
F788 0
F77D 0
F792 0
F7AB 0
F7AC 0
F798 0
F788 0
F791 0
F7AC 0
F7BB 0
F7B4 0
F7AC 0
F7B7 0
F7CA 0
F7CC 0
F7B2 0
F78C 0
F77A 0
F785 0
F792 0
F784 0
F765 0
F75E 0
F77E 0
F7A9 0
F7B7 0
F7A5 0
F791 0
F79A 0
F7BF 0
F7E4 0
F7ED 0
F7DF 0
F7D3 0
F7D7 0
F7E2 0
F7E9 0
F7E6 0
F7DE 0
F7DB 0
F7E2 0
F7EF 0
F7F5 0
F7ED 1
F7E5 2
F7F0 0
F805 1
F810 0
F80A 0
F808 0
F820 0
F846 2
F85A 4
F852 0
F841 0
F844 0
F860 0
F87F 0
F884 C
F867 0
F849 2
F851 0
F879 2
F893 18
F884 1
F863 0
F85B 0
F87C 0
F8A9 6
F8C1 0
F8B9 0
F8A5 0
F8A1 0
F8B2 0
F8C2 4
F8BE B
F8AD 0
F8A6 0
F8B3 4
F8C4 0
F8C7 5
F8BA 0
F8A7 0
F8A3 0
F8AB 0
F8B2 0
F8B1 0
F8AF 0
F8B4 11
F8B9 10
F8B5 C
F8A7 8
F89B 0
F89B 21
F8A4 0
F8AE 3
F8AF 0
F8A7 0
F8A4 0
F8AE 9
F8BA 0
F8B5 10
F89B 0
F87E 0
F875 0
F884 0
F898 4
F892 21
F86E 8
F847 4
F83F 21
F85A 0
F877 0
F878 0
F85C 1
F847 A
F850 0
F86C 0
F878 1
F867 0
F849 0
F833 10
F830 0
F833 0
F829 1
F810 0
F7F9 2
F7F3 8
F7F8 0
F7FE 0
F7FC 0
F7F7 10
F7FD 2
F80F 0
F81F 10
F824 0
F81F 0
F817 0
F813 2
F816 8
F816 0
F80A 0
F801 0
F807 10
F811 4
F809 10
F7F1 C
F7E5 0
F7F4 0
F80A 0
F80D 0
F802 0
F7F8 0
F7FB 0
F811 0
F830 1
F83C E
F830 8
F829 4
F839 13
F853 1
F85C 0
F84D 0
F83C 5
F833 8
F82F 0
F82D 1
F82A 0
F820 1
F816 2
F819 9
F82E 0
F843 0
F848 10
F846 0
F84D 3
F85B 8
F867 1
F872 0
F87A 0
F87D 5
F878 0
F876 2
F877 C
F876 2
F87A 0
F88E 0
F8A1 44
F89F 0
F88D 4
F885 40
F897 50
F8B1 40
F8B6 40
F8A4 40
F893 40
F897 0
F8B5 0
F8D8 0
F8E3 0
F8D2 C
F8C5 20
F8D7 30
F900 3C
F91A 0
F915 0
F900 0
F8F5 0
F8F6 0
F8F0 0
F8E2 0
F8D4 18
F8C9 40
F8C3 0
F8C6 24
F8CC 1
F8D1 44
F8DB 12
F8EE 41
F905 0
F90F 0
F909 0
F904 A
F908 C
F912 4
F916 0
F908 0
F8E9 0
F8C8 1
F8B9 10
F8C7 7
F8DB 0
F8D8 28
F8BA 2A
F89D 0
F89F 0
F8B9 0
F8CD 0
F8CA 0
F8B7 0
F8A8 1
F8AA 1
F8B7 0
F8BD 1
F8B1 0
F89B 0
F88D 6
F892 0
F89B 4
F894 0
F882 0
F878 0
F87A 0
F874 0
F861 0
F84D 0
F840 10
F83D 0
F849 0
F863 0
F875 20
F86C 0
F84F 0
F841 8
F84A 0
F855 18
F856 14
F852 0
F847 0
F833 0
F820 8
F819 12
F812 0
F7FF 2
F7F2 0
F7FF 0
F815 0
F815 11
F805 12
F805 1
F81B 0
F82B 8
F823 0
F80C 4
F7F8 1
F7F0 0
F7FB 2
F817 0
F825 22
F80A 20
F7DC 4
F7C5 0
F7D9 0
F802 0
F81A 0
F816 0
F804 0
F7FD 2
F80C 0
F820 0
F822 0
F810 0
F7F5 B
F7EA 0
F7FB 8
F81F A
F841 10
F84C 0
F844 0
F83B 0
F83A 0
F847 0
F85F 0
F877 0
F881 0
F875 0
F864 10
F863 20
F869 18
F864 11
F850 12
F841 4
F841 11
F84E 12
F865 4
F87D 0
F890 0
F898 0
F89D 0
F8AB 0
F8BE 0
F8C8 0
F8C7 0
F8BD 1
F8B3 1
F8A8 3
F8A4 0
F8A4 40
F89C 0
F88D 8
F88B 0
F899 4
F8A6 A
F8A5 0
F89C 4
F89A 0
F8AB 4
F8C6 18
F8D8 21
F8D7 0
F8C4 20
F8AE 22
F8A5 0
F8AB 20
F8B6 0
F8BB 0
F8B9 0
F8B0 2
F8A7 0
F8A4 0
F8A8 0
F8A8 4
F89B 2
F889 1
F87F 0
F882 2
F88C 0
F89A 0
F8A4 0
F89F 0
F88D 14
F883 14
F888 0
F897 0
F8A4 0
F8A7 0
F89D 20
F890 20
F889 0
F885 0
F87C 0
F86D 20
F85A 0
F84B 0
F84F 0
F860 9
F864 0
F850 0
F83D 0
F842 0
F857 3
F86D 1
F879 0
F876 0
F868 0
F85F 0
F866 0
F86E 0
F862 7
F849 4
F83D 0
F84F 0
F86F 0
F87B 2
F866 0
F840 0
F829 0
F836 0
F855 0
F867 0
F85D 0
F843 0
F83B 0
F849 C
F853 2
F847 0
F82B 0
F815 0
F814 0
F828 0
F841 0
F84E 0
F84F 0
F848 0
F844 0
F84A 0
F853 0
F853 0
F849 0
F83F 0
F83D 0
F83E 0
F83E 0
F835 0
F823 0
F819 0
F81D 0
F828 0
F833 0
F83F 0
F84E 0
F85F 0
F86D 0
F870 0
F86B 0
F865 0
F862 0
F85F 0
F85C 0
F85A 0
F85A 14
F861 10
F865 0
F860 0
F858 8
F85D 0
F86A 20
F875 2
F879 0
F876 0
F873 10
F87B 0
F88E 3
F895 0
F88C 0
F885 2
F887 8
F886 0
F87F 0
F87C 0
F882 0
F88A 0
F88A 8
F880 0
F86F 0
F863 0
F86F 0
F88D 0
F89F 8
F893 4
F87A 10
F86A 0
F86F 0
F884 0
F89C 1
F89D 4
F884 0
F865 0
F85F 8
F874 20
F888 2
F881 4
F85E 0
F83F 10
F83F 5
F85D 0
F87F 0
F88F 0
F88A 0
F87D 0
F86A 0
F85F 0
F86A 0
F889 0
F89D 0
F890 0
F86F 0
F857 0
F851 0
F861 2
F879 10
F878 0
F851 1
F823 0
F82A 0
F870 0
F8B3 0
F8AC 0
F866 0
F82A 0
F838 0
F888 0
F8D1 8
F8C7 0
F86D 0
F81D 0
F826 0
F875 1
F8A5 0
F873 0
F80D 0
F7E0 0
F80F 0
F858 2
F874 0
F850 0
F81B 0
F810 0
F838 0
F866 0
F86E 0
F855 0
F840 0
F83F 0
F848 0
F848 0
F838 0
F81D 0
F800 0
F7F2 0
F7FE 0
F814 0
F817 0
F809 0
F801 0
F80D 0
F81B 0
F81D 0
F81D 0
F824 0
F82E 0
F831 0
F831 0
F833 0
F833 0
F832 6
F831 3
F82A 0
F81C 0
F812 0
F81D 0
F836 2
F83F 4
F828 0
F80A 0
F80A 0
F82B 0
F847 0
F847 0
F839 0
F832 2
F83D 0
F853 14
F865 10
F862 2
F852 0
F84C 0
F851 2
F84F D
F84A 2
F84E 1
F854 4
F850 0
F848 0
F84C 0
F853 0
F84F 0
F853 0
F871 0
F88C 0
F87F 8
F862 0
F86C 0
F89A 8
F8AD 0
F893 20
F86D 18
F85E 18
F871 0
F89B 1
F8B4 0
F899 0
F858 A
F83F 8
F86D B
F8A1 0
F89B 0
F87B 0
F883 0
F8AB 0
F8C0 4
F8B1 0
F89A 0
F892 0
F894 0
F8A2 0
F8B1 0
F8A5 A
F882 3
F873 0
F88E 20
F8B2 22
F8AD 0
F87F 1
F85B 0
F870 0
F8B2 B
F8DE 10
F8BA 0
F864 0
F833 0
F854 2
F89A 1
F8BB 0
F899 10
F855 8
F838 1
F864 2
F8A5 0
F8AD 0
F873 0
F83E 0
F83E 1
F854 4
F85C 0
F852 0
F83E 0
F827 4
F81B 0
F825 0
F836 0
F83C 0
F842 0
F84B 0
F847 0
F82E 0
F818 2
F81B 4
F82C 0
F82E 0
F81E 0
F804 0
F7F1 0
F7F6 0
F819 0
F83B 0
F836 0
F813 0
F7FC 0
F80C 1
F82F 0
F843 0
F834 0
F814 0
F804 0
F80D 0
F81F 2
F824 0
F81A 0
F812 0
F820 0
F83F 0
F853 0
F851 0
F84F 0
F85F 0
F874 2
F876 2
F85E 0
F83D 0
F82A 0
F82E 0
F837 1
F831 4
F81F 0
F818 0
F823 0
F82D 0
F82B 0
F830 0
F846 0
F860 0
F86B 0
F866 0
F859 0
F84F 4
F855 0
F869 0
F875 0
F85E 0
F82D 8
F810 0
F827 10
F854 0
F85A 0
F833 0
F80F 0
F816 0
F83D 0
F85E 0
F85A 0
F83D 0
F82F 1
F845 0
F866 0
F86A 11
F849 4
F82D 2
F83D 0
F866 2
F871 10
F852 0
F82C 0
F826 0
F843 0
F86B 0
F878 2
F85A 0
F835 0
F82B 0
F837 0
F847 0
F855 0
F85C 0
F855 5
F844 0
F834 10
F82F 1
F845 2
F86F 0
F87F 2
F858 5
F821 4
F817 0
F843 8
F874 0
F87B 8
F853 0
F820 0
F814 0
F83B 0
F868 0
F86A 0
F844 0
F823 0
F81A 2
F81E 0
F829 0
F836 0
F839 0
F835 0
F831 0
F835 0
F83F 0
F84E 0
F862 0
F86C 0
F859 0
F832 0
F81E 0
F832 0
F84D 0
F848 0
F82E 0
F81C 0
F81A 0
F81F 0
F82B 0
F82F 0
F81F 0
F80C 0
F80F 0
F827 0
F832 0
F825 0
F817 0
F819 0
F823 0
F82B 0
F82F 0
F82A 0
F824 0
F831 0
F84D 0
F84F 0
F82C 0
F809 0
F800 0
F80C 10
F81B 0
F81C 1
F809 0
F7F2 0
F7F0 0
F808 0
F824 0
F82D 0
F829 0
F829 0
F830 0
F838 0
F83C 0
F83B 0
F83A 0
F838 10
F836 0
F834 0
F831 0
F82B 2
F823 24
F823 0
F82A 10
F837 0
F844 0
F843 4
F82C 0
F818 0
F82C 4
F858 10
F86B 0
F850 0
F829 5
F81F A
F83B 8
F866 10
F87E 2
F86D 28
F843 20
F829 20
F83A 21
F85E 0
F86F 0
F85C 0
F83D 0
F835 0
F84C 0
F86D 0
F874 0
F855 4
F838 0
F849 4
F875 0
F87C 8
F845 0
F817 0
F834 0
F87C 1
F891 10
F857 0
F819 0
F82A 0
F881 0
F8BF 10
F899 0
F835 0
F805 0
F840 0
F8A2 0
F8B6 0
F866 0
F810 0
F810 0
F855 0
F888 0
F86D 0
F827 0
F80E 0
F843 0
F881 10
F87C 0
F83E 0
F813 0
F82A 0
F85D 0
F86E 0
F84E 0
F827 0
F81B 0
F82B 9
F848 0
F857 0
F843 0
F821 0
F81A 0
F835 0
F84D 1
F841 0
F81C A
F806 0
F812 0
F827 0
F827 0
F819 0
F819 0
F82C 0
F83E 0
F83E 0
F833 2
F830 0
F83D 10
F850 10
F856 0
F846 20
F834 20
F839 4
F847 4
F842 2
F82B 4
F822 0
F83B 4
F85B 2
F865 1
F852 0
F838 0
F844 1
F87D 1
F8AC 0
F896 1
F858 0
F83C 0
F864 1
F8A9 2
F8C6 0
F8A7 21
F872 24
F861 20
F886 0
F8BB 20
F8CE 20
F8B3 0
F887 3
F877 10
F898 18
F8CC 0
F8E1 2
F8C4 2
F892 4
F87B 0
F89B 2
F8D6 0
F8F0 4
F8D7 8
F8AD 0
F899 40
F8AB 0
F8CC 0
F8DE 0
F8D6 0
F8C6 0
F8C5 10
F8D1 22
F8D4 20
F8C3 0
F8B6 8
F8C1 1
F8D2 B
F8D2 C
F8B9 0
F89F 6
F8A1 0
F8BD 0
F8C9 10
F8B4 5
F895 22
F892 0
F8AE 4
F8CE 0
F8CF A
F8AA 20
F87B 20
F874 0
F899 8
F8B4 0
F898 10
F861 9
F850 1
F875 0
F89E 0
F893 0
F860 1
F845 0
F86A 0
F89B 4
F897 44
F868 0
F849 0
F84E 0
F85A 0
F84F 0
F828 0
F802 20
F801 22
F833 2
F869 0
F85E 28
F813 8
F7DB 0
F7FC 9
F84F 4
F875 0
F84F 5
F810 24
F7F6 0
F80A 0
F833 20
F84E 2
F83C 0
F813 0
F80A 0
F824 2
F822 0
F7F8 0
F7E9 0
F816 0
F83E 21
F819 0
F7C6 0
F7AD 0
F7F2 0
F847 6
F850 2
F80A 0
F7C9 0
F7E0 0
F847 0
F894 0
F874 0
F80A 0
F7D5 0
F815 0
F87B 0
F885 0
F81B 0
F7B1 0
F7BA 0
F81F 9
F862 0
F845 0
F7FC 0
F7E0 0
F817 0
F873 1
F89C 0
F874 0
F83A 0
F83F 0
F87C 1
F89C 0
F873 0
F838 0
F837 10
F866 28
F883 0
F870 10
F843 4
F829 0
F83E A
F876 0
F89E 2
F898 0
F879 0
F86F 0
F883 0
F89D 0
F8A4 2
F89A 0
F899 8
F8A7 10
F8AE 0
F8A7 12
F8A0 10
F8A0 20
F8A5 1
F8AC 1
F8AE 0
F8A9 0
F8A4 0
F8AA 0
F8B8 0
F8BE 60
F8BB 20
F8C2 4
F8D8 0
F8E3 0
F8D5 0
F8CA 0
F8DE 8
F8F9 8
F8F6 0
F8D6 3C
F8BB 3
F8BA 0
F8D0 0
F8EA 0
F8EB 0
F8C4 0
F89F 10
F8A5 0
F8C7 20
F8D5 0
F8C3 40
F8AC 1
F8AA 0
F8BB 20
F8CD 20
F8C9 0
F8AA 22
F88B 0
F889 10
F8A3 0
F8AF 0
F890 2
F85D 0
F844 10
F850 1
F85F 0
F85B 20
F858 20
F861 0
F866 0
F85F 0
F862 0
F87A 4
F88B 14
F877 10
F847 0
F826 0
F836 0
F866 20
F873 2
F836 0
F7E9 0
F7DF 0
F811 0
F840 0
F838 0
F7FC 0
F7C4 0
F7D9 1
F833 2
F869 0
F840 0
F7FE 0
F801 0
F838 0
F858 0
F841 0
F816 0
F811 4
F834 0
F84A A
F833 0
F802 0
F7D8 0
F7D1 0
F7FB 0
F82B 2
F81F B
F7DE 0
F7C0 0
F7EF 0
F833 1
F843 0
F822 1
F801 0
F801 0
F81C 14
F830 11
F82F 0
F82B 0
F834 20
F833 2A
F816 1
F7FE 0
F801 0
F810 0
F81E 12
F82F 0
F834 1
F825 10
F813 0
F816 18
F82A 10
F835 20
F836 0
F83A 0
F842 0
F843 4
F83D 8
F842 7
F85A 4
F869 4
F857 0
F834 0
F830 0
F850 0
F86D 0
F864 0
F852 0
F857 0
F85E 20
F850 4
F849 0
F861 2
F879 1B
F874 20
F861 1
F85E 0
F870 0
F88C 0
F8A1 4
F8A0 0
F88A 0
F879 0
F88C 0
F8B7 0
F8CC 4
F8B3 0
F884 0
F86E 1
F87A 20
F892 20
F89E 22
F8A1 A
F899 0
F88A 20
F882 0
F88B 0
F891 0
F884 0
F882 1
F89F 9
F8BC 0
F8B2 0
F88B 1
F86D 0
F875 0
F8A1 8
F8CA 0
F8BD 0
F882 0
F85A 0
F874 4
F8B4 0
F8D0 0
F899 20
F83F 10
F822 8
F860 20
F8A2 20
F892 2
F84B 0
F826 0
F844 8
F870 0
F86E 0
F841 0
F81B 0
F820 0
F842 2
F861 0
F867 0
F84A 0
F820 0
F811 0
F828 0
F842 0
F845 0
F836 0
F82C 0
F834 0
F83E 2
F820 0
F7E5 0
F7D4 0
F809 0
F83B 2
F82F 4
F7F5 0
F7C6 0
F7C9 0
F803 0
F848 1
F848 0
F803 0
F7DD 0
F80F 4
F851 0
F84E 0
F81E 0
F809 0
F815 0
F816 0
